% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift
               228   2.28000000E+01   1.00000000E-01                5   6.2109912140387878E-02   1.7580187162031533E-01
               229   2.29000000E+01   1.00000000E-01                5   5.9604592158999166E-02   1.8236930936456786E-01
               230   2.30000000E+01   1.00000000E-01                5   5.9119574501121992E-02   1.9649801822365626E-01
               231   2.31000000E+01   1.00000000E-01                5   5.9863102780219134E-02   2.1121456285631721E-01
               232   2.32000000E+01   1.00000000E-01                5   6.1531994791289610E-02   2.2022233255359486E-01
               233   2.33000000E+01   1.00000000E-01                5   6.3747245751543849E-02   2.2153274653390975E-01
               234   2.34000000E+01   1.00000000E-01                5   6.5555531367291794E-02   2.1964643398707850E-01
               235   2.35000000E+01   1.00000000E-01                5   6.6197146859473657E-02   2.1678019856095851E-01
               236   2.36000000E+01   1.00000000E-01                5   6.5475025897756195E-02   2.1365013010796260E-01
               237   2.37000000E+01   1.00000000E-01                5   6.4292225065663663E-02   2.1337058572247156E-01
               238   2.38000000E+01   1.00000000E-01                5   6.4062238443577529E-02   2.1977340346716967E-01
               239   2.39000000E+01   1.00000000E-01                5   6.5413410085290349E-02   2.3226459852577910E-01
               240   2.40000000E+01   1.00000000E-01                5   6.7992228419535741E-02   2.4485286964050970E-01
               241   2.41000000E+01   1.00000000E-01                5   7.1032706935913653E-02   2.5065881505801080E-01
               242   2.42000000E+01   1.00000000E-01                5   7.3490877318332731E-02   2.4909154702161018E-01
               243   2.43000000E+01   1.00000000E-01                5   7.4312333594184793E-02   2.4254549124469316E-01
               244   2.44000000E+01   1.00000000E-01                5   7.3129665119158277E-02   2.3271456147162153E-01
               245   2.45000000E+01   1.00000000E-01                5   7.0487615543034121E-02   2.2217172946511157E-01
               246   2.46000000E+01   1.00000000E-01                5   6.7440109617308397E-02   2.1413927422379933E-01
               247   2.47000000E+01   1.00000000E-01                5   6.4843734289411786E-02   2.1083562921023799E-01
               248   2.48000000E+01   1.00000000E-01                5   6.3636231650904734E-02   2.1431848844495402E-01
               249   2.49000000E+01   1.00000000E-01                5   6.4658363985282394E-02   2.2397643291061992E-01
               250   2.50000000E+01   1.00000000E-01                5   6.7785691347821045E-02   2.3235643294729857E-01
               251   2.51000000E+01   1.00000000E-01                5   7.2198514571904834E-02   2.3317719712484994E-01
               252   2.52000000E+01   1.00000000E-01                5   7.5952871566001362E-02   2.2931954984510966E-01
               253   2.53000000E+01   1.00000000E-01                5   7.7481525647929386E-02   2.2163919855410280E-01
               254   2.54000000E+01   1.00000000E-01                5   7.6080818840740097E-02   2.0864109640402226E-01
               255   2.55000000E+01   1.00000000E-01                5   7.2076912411128291E-02   1.9167028052697746E-01
               256   2.56000000E+01  -1.00000000E+00               -1   6.7451349228283733E-02   1.7834678309095919E-01
